TimeStep,Time,"Points:0","Points:1","Points:2"
1,1.00000e+00,4.32408e+00,1.21016e+00,2.47542e-02
1,1.00000e+00,4.86009e+00,1.22797e+00,2.04480e-02
1,1.00000e+00,2.30540e-01,1.34315e+00,8.15068e-02
1,1.00000e+00,8.06241e-01,1.33589e+00,5.70761e-02
1,1.00000e+00,1.27824e+00,1.36143e+00,8.26484e-02
1,1.00000e+00,1.70437e+00,1.30591e+00,1.10068e-02
1,1.00000e+00,2.25425e+00,1.33860e+00,6.72954e-02
1,1.00000e+00,2.65659e+00,1.32081e+00,9.41600e-02
1,1.00000e+00,3.18348e+00,1.30827e+00,3.33687e-02
1,1.00000e+00,3.67025e+00,1.37975e+00,9.50324e-02
1,1.00000e+00,4.14536e+00,1.35763e+00,4.60377e-02
1,1.00000e+00,4.60890e+00,1.37919e+00,2.21366e-02
1,1.00000e+00,8.11226e-02,1.48061e+00,6.94998e-02
1,1.00000e+00,5.67890e-01,1.48480e+00,2.32200e-02
1,1.00000e+00,1.04905e+00,1.43888e+00,5.15725e-02
1,1.00000e+00,1.55901e+00,1.45568e+00,8.88735e-02
1,1.00000e+00,2.09439e+00,1.45206e+00,7.52093e-02
1,1.00000e+00,2.41426e+00,1.47100e+00,7.38255e-03
1,1.00000e+00,2.99581e+00,1.41713e+00,6.14063e-02
1,1.00000e+00,3.47196e+00,1.40759e+00,4.17196e-02
1,1.00000e+00,3.92887e+00,1.43520e+00,5.14598e-02
1,1.00000e+00,4.47071e+00,1.43660e+00,8.33556e-02
1,1.00000e+00,4.85145e+00,1.49695e+00,1.45374e-03
1,1.00000e+00,3.75776e-01,1.59335e+00,3.66523e-02
1,1.00000e+00,8.87465e-01,1.59500e+00,5.25384e-02
1,1.00000e+00,1.37773e+00,1.58610e+00,9.62282e-02
1,1.00000e+00,1.85373e+00,1.50443e+00,1.18288e-02
1,1.00000e+00,2.22468e+00,1.50768e+00,4.15832e-02
1,1.00000e+00,2.71698e+00,1.53258e+00,2.38932e-02
1,1.00000e+00,3.29464e+00,1.51647e+00,6.08138e-02
1,1.00000e+00,3.75041e+00,1.57007e+00,8.42201e-02
1,1.00000e+00,4.22586e+00,1.58452e+00,4.53939e-02
1,1.00000e+00,4.66848e+00,1.54512e+00,8.12143e-02
1,1.00000e+00,1.71570e-01,1.68394e+00,1.40361e-02
1,1.00000e+00,6.83207e-01,1.69734e+00,6.29388e-03
1,1.00000e+00,1.19213e+00,1.67099e+00,6.82603e-02
1,1.00000e+00,1.62258e+00,1.63000e+00,6.92539e-02
1,1.00000e+00,2.09194e+00,1.68208e+00,9.23776e-02
1,1.00000e+00,2.59585e+00,1.68456e+00,7.11403e-02
1,1.00000e+00,3.02469e+00,1.62918e+00,4.19980e-02
1,1.00000e+00,3.59119e+00,1.69037e+00,8.26591e-02
1,1.00000e+00,4.08963e+00,1.60738e+00,2.77034e-02
1,1.00000e+00,4.47766e+00,1.68486e+00,7.97320e-02
1,1.00000e+00,4.94881e+00,1.61107e+00,8.80943e-02
1,1.00000e+00,4.05895e-01,1.76615e+00,6.19025e-04
